service_tier,promised_transit_days,handling_lead_days,serve_distance_km,line_count,unit_total,consignment_value,mean_markdown,same_day_workload,zone_weekly_bookings,arrival_slip_days
3.0,4.0,2.0,750.8650925421057,1.0,1.0,299.980011,0.200000003,56.0,120.0,-2.0
3.0,4.0,3.0,1374.115993909926,3.0,7.0,579.980011,0.09666666833333333,56.0,60.0,-1.0
3.0,4.0,5.0,1324.8384764002649,4.0,14.0,699.8500099400001,0.14250000425,56.0,60.0,1.0
3.0,4.0,6.0,2271.9458394528056,5.0,10.0,1129.86003878,0.13600000140000001,56.0,60.0,2.0
2.0,2.0,3.0,632.6007482734077,3.0,7.0,579.9200134499999,0.06999999833333333,56.0,60.0,1.0
3.0,4.0,4.0,2272.734399319012,4.0,13.0,729.8400116,0.15250000225,56.0,60.0,0.0
3.0,4.0,5.0,1338.129181563415,3.0,4.0,599.9600067,0.020000000333333334,56.0,60.0,1.0
3.0,4.0,6.0,762.6663403436925,5.0,6.0,651.92001535,0.1580000008,56.0,60.0,2.0
3.0,4.0,2.0,2299.917413768498,5.0,15.0,919.78999332,0.1140000018,56.0,60.0,-2.0
3.0,4.0,3.0,2273.026975836774,5.0,18.0,1299.8700256,0.0979999996,56.0,120.0,-1.0
3.0,4.0,4.0,3128.354034570664,1.0,4.0,127.9599991,0.200000003,56.0,120.0,0.0
3.0,4.0,5.0,2269.7774867767603,3.0,4.0,549.94001008,0.11000000433333333,56.0,120.0,1.0
3.0,4.0,6.0,767.0842204963482,5.0,9.0,925.91001892,0.166000001,56.0,60.0,2.0
3.0,4.0,2.0,2272.1430805683076,2.0,7.0,419.9300156,0.13500000150000002,56.0,60.0,-2.0
3.0,4.0,3.0,3179.6941324599657,5.0,14.0,694.84001158,0.1900000006,56.0,120.0,-1.0
3.0,4.0,4.0,633.0009507452874,3.0,4.0,449.9600144,0.11666666333333335,56.0,120.0,0.0
3.0,4.0,5.0,624.0712897195239,2.0,2.0,699.960022,0.1449999955,56.0,120.0,1.0
3.0,4.0,6.0,833.1640330859593,4.0,15.0,879.8600159,0.13250000125,56.0,120.0,2.0
1.0,1.0,2.0,1591.437933912387,4.0,11.0,372.91000368,0.1750000025,56.0,120.0,1.0
2.0,2.0,4.0,1132.5148247277173,1.0,1.0,299.980011,0.119999997,56.0,60.0,2.0
2.0,2.0,5.0,302.8268949447993,5.0,9.0,829.9700164999999,0.12600000120000002,56.0,120.0,3.0
2.0,2.0,6.0,376.3543209926843,1.0,1.0,399.980011,0.150000006,56.0,120.0,4.0
2.0,2.0,3.0,2270.0292771081886,3.0,5.0,749.9700164999999,0.139999998,56.0,120.0,1.0
3.0,4.0,4.0,3141.969722281079,5.0,8.0,1159.90001304,0.1240000032,56.0,120.0,0.0
3.0,4.0,5.0,1391.0002725141203,5.0,9.0,1109.8500214,0.0900000004,56.0,120.0,1.0
3.0,4.0,6.0,923.1587892008017,1.0,2.0,100.0,0.100000001,56.0,120.0,2.0
3.0,4.0,2.0,2273.9871382856827,1.0,5.0,499.9500122,0.01,56.0,120.0,-2.0
1.0,1.0,2.0,2268.962667194688,4.0,7.0,659.8900146999999,0.09,56.0,120.0,1.0
1.0,1.0,2.0,3172.4419937243933,1.0,1.0,299.980011,0.07,56.0,120.0,1.0
2.0,2.0,6.0,1198.00090141408,1.0,1.0,129.9900055,0.039999999,56.0,120.0,4.0
2.0,2.0,2.0,2271.2574994547886,3.0,4.0,799.960022,0.08333333466666666,56.0,120.0,0.0
2.0,2.0,3.0,756.9749299792104,2.0,5.0,159.95000076,0.1449999995,56.0,120.0,1.0
2.0,2.0,4.0,496.4823617838275,2.0,8.0,359.9600067,0.0999999975,56.0,48.0,2.0
2.0,2.0,5.0,3190.1961620773272,1.0,1.0,199.9900055,0.07,56.0,48.0,3.0
1.0,1.0,2.0,1111.7733748708365,2.0,8.0,327.8799973,0.160000004,56.0,48.0,1.0
1.0,1.0,2.0,1590.301091152664,3.0,7.0,739.92002488,0.143333336,56.0,120.0,1.0
1.0,1.0,2.0,2269.2271892512886,3.0,3.0,529.9600143600001,0.08666666899999999,56.0,120.0,1.0
3.0,4.0,5.0,2273.4578887117455,1.0,1.0,399.980011,0.07,56.0,120.0,1.0
3.0,4.0,6.0,2270.051734199535,4.0,15.0,499.85000223000003,0.09249999775000001,56.0,120.0,2.0
3.0,4.0,2.0,3705.3131242377312,2.0,3.0,229.95000457999998,0.060000000500000004,56.0,60.0,-2.0
3.0,4.0,4.0,1585.3536827382918,2.0,3.0,99.95999908,0.155000001,56.0,48.0,0.0
3.0,4.0,5.0,2271.6082786722877,3.0,4.0,549.9500199,0.03333333333333333,56.0,60.0,1.0
3.0,4.0,2.0,3392.551854187592,2.0,2.0,449.980011,0.120000003,56.0,120.0,-2.0
3.0,4.0,3.0,1211.6273279253517,2.0,8.0,399.8399963,0.08,56.0,120.0,-1.0
3.0,4.0,2.0,2269.8474049556094,3.0,6.0,699.8900146999999,0.06999999800000001,56.0,48.0,-2.0
3.0,4.0,3.0,1529.9541791643314,4.0,10.0,637.9000168,0.13250000225,56.0,48.0,-1.0
3.0,4.0,4.0,1115.3065730663434,5.0,6.0,799.94002154,0.11800000079999999,56.0,120.0,0.0
3.0,4.0,5.0,2270.182149022563,4.0,4.0,619.95001986,0.0825,56.0,120.0,1.0
2.0,2.0,2.0,629.9711182393345,3.0,8.0,639.9199983,0.029999999333333333,56.0,120.0,0.0
3.0,4.0,3.0,2273.1489895295026,4.0,4.0,1149.9400329999999,0.0574999985,56.0,60.0,-1.0
3.0,4.0,4.0,502.3938605478172,3.0,4.0,899.92002108,0.04000000133333333,56.0,120.0,0.0
1.0,1.0,2.0,1401.6549792898427,5.0,11.0,659.96999738,0.1240000008,56.0,120.0,1.0
1.0,1.0,2.0,723.1148226435088,1.0,1.0,299.980011,0.25,56.0,120.0,1.0
3.0,4.0,2.0,1566.027733476868,4.0,5.0,679.9400254,0.140000003,56.0,120.0,-2.0
3.0,4.0,3.0,2268.2986234610667,1.0,3.0,150.0,0.150000006,56.0,48.0,-1.0
3.0,4.0,4.0,2273.6970824027144,1.0,1.0,299.980011,0.180000007,56.0,48.0,0.0
3.0,4.0,6.0,1571.230980304352,3.0,3.0,629.960022,0.11999999900000001,51.0,60.0,2.0
3.0,4.0,2.0,1535.2125991136857,3.0,8.0,659.92001728,0.053333332000000004,51.0,60.0,-2.0
3.0,4.0,3.0,2729.329532264567,4.0,8.0,463.92000959999996,0.030000000000000002,51.0,48.0,-1.0
3.0,4.0,4.0,1133.9744907772497,5.0,20.0,1279.6499787,0.060000000799999995,51.0,120.0,0.0
3.0,4.0,5.0,2299.7279292977346,1.0,2.0,119.9800034,0.25,51.0,120.0,1.0
